Plot	Pollinator	Pollinator_group	Pollinator_group_2	Functional_group_Rocka	Species	Abundance
28	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
31	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
38	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
4	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
5	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	4
8	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
9	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	2
8	Nomada_1	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
5	Nomada_sheppardana	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
1	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
3	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
5	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
6	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
8	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
12	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
17	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
18	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
21	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
24	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
32	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
33	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
38	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
2	Andrena_angustior_impressa	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUH	1
24	Andrena_lepida	Bee	Small_bee	Short-tongued_medium-sized_bees	EFL	1
22	Andrena_lepida	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
37	Andrena_lepida	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
37	Andrena_nana	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
