Parcela	X	Y	Nom_definitiu	Solitary	Separing_honeybees	Group	Functional_group_Rocka	Familia	Nom_planta	Codi_planta	Plant	Frequencia
38	1.88	41.27	Halictus_tetrazonius	Solitary	Bee	Large_bee	Short-tongued_large_bees	Halictidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
7	1.86	41.30	Lasioglossum_albocinctum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Lasioglossum_albocinctum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Halictidae	Rosmarinus_officinalis	ROF	ROF	1
27	1.91	41.29	Megachile_pyrenaica	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Linaria	LIN	LIN	2
3	1.90	41.28	Megachile_pyrenaica	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Rosmarinus_officinalis	ROF	ROF	1
38	1.88	41.27	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Argyrolobium_zanonii	AZA	AZA	1
38	1.88	41.27	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Fumana	FLA	FLA	1
8	1.87	41.30	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Helianthemum_oelandicum	HOE	HOE	1
17	1.92	41.31	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Helianthemum_oelandicum	HOE	HOE	1
35	1.83	41.28	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Helianthemum_oelandicum	HOE	HOE	1
15	1.88	41.30	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Orobanche_latisquama	OLA	OLA	1
20	1.91	41.31	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Orobanche_latisquama	OLA	OLA	1
22	1.94	41.31	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Orobanche_latisquama	OLA	OLA	1
34	1.84	41.28	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Orobanche_latisquama	OLA	OLA	3
38	1.88	41.27	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Orobanche_latisquama	OLA	OLA	1
8	1.87	41.30	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Rosmarinus_officinalis	ROF	ROF	1
11	1.87	41.29	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Rosmarinus_officinalis	ROF	ROF	1
14	1.93	41.31	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Rosmarinus_officinalis	ROF	ROF	1
31	1.85	41.30	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Rosmarinus_officinalis	ROF	ROF	1
39	1.88	41.26	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Rodanthidium_sticticum	Solitary	Bee	Large_bee	Short-tongued_large_bees	Megachilidae	Thymus_vulgaris_Female	TVUF	TVU	2
