Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	eficient	Nom_planta	Codi_planta	Plant	Frequencia
3	1.9	41.28	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
30	1.9	41.3	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
26	1.91	41.29	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
30	1.9	41.3	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	4
1	1.92	41.27	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Cistus_albidus	CAL	CAL	1
16	1.89	41.3	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Lasioglossum_malachurum	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
6	1.86	41.29	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
34	1.84	41.28	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
36	1.84	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	9
9	1.9	41.32	Lasioglossum_soror	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
9	1.9	41.32	Lasioglossum_soror	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
2	1.91	41.3	Lasioglossum_subhirtum	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	3
3	1.9	41.28	Lasioglossum_subhirtum	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Lasioglossum_subhirtum	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
19	1.92	41.31	Lasioglossum_subhirtum	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	3
