Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
20	1.91	41.31	Ceratina_cyanea	Short-tongued_medium-sized_bees	Aphyllanthes_monspeliensis	AMO	AMO	1
15	1.88	41.30	Ceratina_cyanea	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
7	1.86	41.30	Hylaeus_garrulus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
9	1.90	41.32	Hylaeus_garrulus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
4	1.88	41.28	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
19	1.92	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
22	1.94	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Short-tongued_small_bees	Fumana	FLA	FLA	1
39	1.88	41.26	Lasioglossum_griseolum	Short-tongued_small_bees	Fumana	FLA	FLA	1
11	1.87	41.29	Lasioglossum_griseolum	Short-tongued_small_bees	Helianthemum_oelandicum	HOE	HOE	1
22	1.94	41.31	Lasioglossum_griseolum	Short-tongued_small_bees	Orobanche_latisquama	OLA	OLA	1
3	1.90	41.28	Lasioglossum_griseolum	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
30	1.90	41.30	Lasioglossum_griseolum	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
26	1.91	41.29	Lasioglossum_griseolum	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
30	1.90	41.30	Lasioglossum_griseolum	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	4
1	1.92	41.27	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Cistus_albidus	CAL	CAL	1
16	1.89	41.30	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Lasioglossum_interruptum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Lasioglossum_malachurum	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
6	1.86	41.29	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
34	1.84	41.28	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
36	1.84	41.27	Lasioglossum_mediterraneum	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	9
9	1.90	41.32	Lasioglossum_soror	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
9	1.90	41.32	Lasioglossum_soror	Short-tongued_small_bees	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
2	1.91	41.30	Lasioglossum_subhirtum	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	3
3	1.90	41.28	Lasioglossum_subhirtum	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
12	1.92	41.29	Lasioglossum_subhirtum	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	1
19	1.92	41.31	Lasioglossum_subhirtum	Short-tongued_small_bees	Rosmarinus_officinalis	ROF	ROF	3
19	1.92	41.31	Lasioglossum_subhirtum	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	2
38	1.88	41.27	Lasioglossum_subhirtum	Short-tongued_small_bees	Thymus_vulgaris_Female	TVUF	TVU	1
1	1.92	41.27	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
3	1.90	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	5
4	1.88	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
5	1.87	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	3
8	1.87	41.30	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
9	1.90	41.32	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
10	1.91	41.28	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
12	1.92	41.29	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	3
14	1.93	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	5
18	1.90	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	2
19	1.92	41.31	Lasioglossum_transitorium_planulum	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
