Parcela	Nom_definitiu	Codi_planta	Frequencia
13	Lasioglossum_transitorium_planulum	TVUF	1
14	Lasioglossum_transitorium_planulum	ROF	5
14	Lasioglossum_transitorium_planulum	TVUF	1
18	Lasioglossum_transitorium_planulum	FLA	1
18	Lasioglossum_transitorium_planulum	ROF	2
19	Lasioglossum_transitorium_planulum	ROF	1
20	Lasioglossum_transitorium_planulum	HOE	1
20	Lasioglossum_transitorium_planulum	ROF	1
21	Lasioglossum_transitorium_planulum	ROF	1
23	Lasioglossum_transitorium_planulum	TVUF	1
24	Lasioglossum_transitorium_planulum	ROF	3
24	Lasioglossum_transitorium_planulum	TVUF	1
28	Lasioglossum_transitorium_planulum	ROF	1
28	Lasioglossum_transitorium_planulum	TVUF	1
31	Lasioglossum_transitorium_planulum	ROF	1
31	Lasioglossum_transitorium_planulum	TVUF	2
32	Lasioglossum_transitorium_planulum	TVUF	1
32	Lasioglossum_transitorium_planulum	TVUH	1
33	Lasioglossum_transitorium_planulum	CSA	2
33	Lasioglossum_transitorium_planulum	TVUF	1
35	Lasioglossum_transitorium_planulum	HOE	1
36	Lasioglossum_transitorium_planulum	TVUF	1
37	Lasioglossum_transitorium_planulum	TVUF	1
37	Lasioglossum_transitorium_planulum	TVUH	1
38	Lasioglossum_transitorium_planulum	ROF	1
38	Lasioglossum_transitorium_planulum	TVUF	1
39	Lasioglossum_transitorium_planulum	TVUF	1
39	Lasioglossum_transitorium_planulum	TVUH	1
15	Leptidea_sinapis	ROF	1
5	Lobonyx_aeneus	CSA	1
5	Lobonyx_aeneus	ROF	2
9	Lobonyx_aeneus	CSA	2
9	Lobonyx_aeneus	ROF	2
9	Lobonyx_aeneus	TVUH	1
15	Lobonyx_aeneus	CSA	9
15	Lobonyx_aeneus	ROF	12
20	Lobonyx_aeneus	ROF	4
21	Lobonyx_aeneus	ROF	8
30	Lobonyx_aeneus	ROF	1
32	Lobonyx_aeneus	CSA	1
33	Lobonyx_aeneus	CSA	2
34	Lobonyx_aeneus	TVUF	1
38	Lobonyx_aeneus	CSA	1
38	Lucilia	TVUH	1
7	Malthinus	ROF	2
14	Malthinus	EFL	2
17	Malthinus	EFL	2
17	Malthinus	ROF	1
24	Mecoptera	ROF	1
3	Megachile_pyrenaica	ROF	1
27	Megachile_pyrenaica	LIN	2
9	Meligethes_2	ROF	1
28	Meligethes_aeneus	TVUF	1
35	Meligethes_aeneus	EFL	1
35	Meligethes_aeneus	TVUF	2
40	Meligethes_aeneus	TVUH	2
32	Merodon	TVUH	1
20	Microhoria_plumbea	HOE	1
21	Microhoria_plumbea	HOE	1
20	Microlepidoptera	ROF	1
34	Microlepidoptera	TVUF	1
34	Microlepidoptera	TVUH	1
36	Microlepidoptera	TVUF	6
36	Microlepidoptera	TVUH	1
37	Microlepidoptera	TVUF	1
37	Microlepidoptera	TVUH	1
38	Microlepidoptera	TVUF	5
38	Microlepidoptera	TVUH	5
40	Miridae_1	ROF	2
4	Miridae_2	ROF	1
34	Miridae_3	HOE	1
15	Mordellistena_1	BLA	1
19	Mordellistena_1	EFL	1
33	Mordellistena_1	CSA	2
1	Mosca_1	TVUH	1
3	Mosca_11	ROF	3
19	Mosca_14	ROF	1
