Plot	Species	Plant	X	Y
21	TVUF	9	39.47720808	21.6205966
21	TVUF	10	33.34548902	29.08969441
21	TVUH	1	52.45073299	-39.56385384
21	TVUH	2	52.98373569	-38.58764496
21	TVUH	3	54.17256218	-37.80929181
21	TVUH	4	36.14470133	21.98007439
21	TVUH	5	36.46794545	23.49821311
21	TVUH	6	33.58763037	33.45436511
21	TVUH	7	35.08511414	35.05419007
21	TVUH	8	31.3106265	35.90466049
21	TVUH	9	32.56217635	38.07868135
21	TVUH	10	47.35905477	39.97759463
22	ROF	1	36.58798585	4.760445999
22	ROF	2	28.83530537	2.133211154
22	ROF	3	22.70609403	1.589423907
22	ROF	4	13.71628084	2.160300187
22	ROF	5	7.410221595	2.08665815
22	ROF	6	35.49238497	11.57624727
22	ROF	7	19.50116048	12.56048212
22	ROF	8	13.29275552	11.18335596
22	ROF	9	6.36010354	13.63782298
22	ROF	10	-3.589932244	15.35446501
22	TVUF	1	38.50682577	2.654725197
22	TVUF	2	30.69153953	7.274107567
22	TVUF	3	2.907689941	3.254697104
22	TVUF	4	51.17352365	26.48444554
22	TVUF	5	49.95832971	17.1431438
22	TVUF	6	47.21330774	4.879437083
22	TVUF	7	40.59743022	10.66725973
22	TVUF	8	32.56248871	12.71173925
22	TVUF	9	24.40426201	17.02648037
22	TVUF	10	21.72821339	16.77910733
22	TVUH	1	44.80908586	1.168119218
22	TVUH	2	34.16803227	2.870072973
22	TVUH	3	22.63647856	7.647414502
22	TVUH	4	50.44178533	23.1831553
22	TVUH	5	46.59532998	8.410362057
22	TVUH	6	44.70859558	6.799868902
22	TVUH	7	43.80509274	11.38032333
22	TVUH	8	44.90946912	-6.451243086
22	TVUH	9	33.05081367	16.18812497
22	TVUH	10	30.18908814	17.43285599
24	ROF	1	38.86325694	32.24942234
24	ROF	2	37.24057537	11.17504528
24	ROF	3	21.45190366	26.57728096
24	ROF	4	0.039800995	24.80796853
24	ROF	5	-5.890380732	9.194404546
24	ROF	6	15.17183955	15.15118966
24	ROF	7	23.64628739	4.226815712
24	ROF	8	1.844334811	4.795853369
24	ROF	9	12.06353171	3.218385062
24	ROF	10	41.37221841	3.5780928
24	ROF	11	26.02985075	4.628864048
24	TVUF	1	40.52394096	39.00700681
24	TVUF	2	42.69777472	26.48078436
24	TVUF	3	36.66550927	14.51925311
24	TVUF	4	33.83667437	26.69143821
24	TVUF	5	-3.719444618	10.55912071
24	TVUF	6	17.39749787	6.322662836
24	TVUF	7	29.30668832	2.858802223
24	TVUF	8	41.44659131	23.04400175
24	TVUF	9	42.7294823	24.54775495
24	TVUF	10	NA	NA
24	TVUH	1	41.98315535	24.61847249
24	TVUH	2	38.12272529	16.53826266
24	TVUH	3	21.60607839	24.03527134
24	TVUH	4	-1.041320594	27.28920252
24	TVUH	5	29.24353962	4.137188534
24	TVUH	6	39.47725806	2.531568101
24	TVUH	7	NA	NA
24	TVUH	8	NA	NA
24	TVUH	9	NA	NA
24	TVUH	10	NA	NA
25	ROF	1	36.14992948	0.947616553
25	ROF	2	28.27268405	4.494378853
25	ROF	3	15.05780715	6.177459
25	ROF	4	8.629568441	7.643067252
25	ROF	5	0.082717492	5.21678688
25	ROF	6	1.342756981	14.09384696
25	ROF	7	11.58444615	15.44727405
25	ROF	8	23.73115203	14.16190515
25	ROF	9	33.1483741	14.48382157
25	ROF	10	21.90923963	24.82999557
25	TVUF	1	10.95100939	-6.087883306
25	TVUF	2	23.30712012	6.265342306
25	TVUF	3	29.01320869	6.718177056
25	TVUF	4	42.73264295	9.642744893
25	TVUF	5	3.102389491	16.89100214
25	TVUF	6	3.029149373	18.25385824
25	TVUF	7	17.75363662	25.46754241
25	TVUF	8	20.25237539	24.86348068
25	TVUF	9	23.87937301	25.9759842
25	TVUF	10	44.15631221	14.26018455
25	TVUH	1	9.793415804	-6.04907926
25	TVUH	2	29.22125962	5.71471169
25	TVUH	3	16.15034855	-6.663174437
25	TVUH	4	NA	NA
25	TVUH	5	NA	NA
25	TVUH	6	NA	NA
25	TVUH	7	NA	NA
25	TVUH	8	NA	NA
25	TVUH	9	NA	NA
25	TVUH	10	NA	NA
26	ROF	1	35.72705037	26.97679455
26	ROF	2	39.61806285	28.98231029
26	ROF	3	36.77155977	29.09967871
26	ROF	4	37.68116403	28.42825267
26	ROF	5	39.47117251	27.16986531
26	ROF	6	NA	NA
26	ROF	7	NA	NA
26	ROF	8	NA	NA
26	ROF	9	NA	NA
26	ROF	10	NA	NA
26	TVUF	1	35.79107746	5.577652512
26	TVUF	2	19.01226139	2.457583844
26	TVUF	3	12.04147931	5.833192592
26	TVUF	4	-2.663577641	24.36285857
26	TVUF	5	18.41637078	23.58246885
26	TVUF	6	-6.523069342	31.31352489
26	TVUF	7	-6.504757723	34.4287653
26	TVUF	8	3.913186711	2.497163646
26	TVUF	9	8.156523018	5.639227717
26	TVUF	10	25.46267239	2.481605923
26	TVUH	1	39.564193	5.703187247
26	TVUH	2	49.92586735	6.073711421
26	TVUH	3	27.46827158	15.86905682
26	TVUH	4	18.87428843	16.06844604
26	TVUH	5	15.61795159	17.45296421
26	TVUH	6	-1.515159342	31.81935953
26	TVUH	7	-5.758161844	33.2653337
26	TVUH	8	-2.898894666	22.87152261
26	TVUH	9	-4.873577104	11.56666077
26	TVUH	10	-6.872039214	9.132979791
27	ROF	1	-4.173290664	2.45586869
27	ROF	2	-4.373559065	4.92722205
27	ROF	3	8.6442311	12.27469805
27	ROF	4	8.535150201	25.88882007
27	ROF	5	10.20611817	18.20687519
27	ROF	5.2	8.619455628	7.322700526
27	ROF	6	18.05719005	34.10653453
27	ROF	7	22.38876845	24.88076804
27	ROF	8	32.52331303	37.18953236
27	ROF	9	35.8872716	32.89408486
27	ROF	10	29.61701249	37.12604522
27	TVUF	1	NA	NA
27	TVUF	2	NA	NA
27	TVUF	3	NA	NA
27	TVUF	4	NA	NA
27	TVUF	5	NA	NA
27	TVUF	6	NA	NA
27	TVUF	7	NA	NA
27	TVUF	8	NA	NA
27	TVUF	9	NA	NA
27	TVUF	10	NA	NA
27	TVUH	1	NA	NA
27	TVUH	2	NA	NA
27	TVUH	3	NA	NA
27	TVUH	4	NA	NA
27	TVUH	5	NA	NA
27	TVUH	6	NA	NA
27	TVUH	7	NA	NA
27	TVUH	8	NA	NA
27	TVUH	9	NA	NA
27	TVUH	10	NA	NA
28	ROF	1	17.85844497	-10.43582341
28	ROF	2	19.4359856	-14.96963898
28	ROF	3	14.94560317	-6.693243375
28	ROF	4	11.19394077	-4.29160855
28	ROF	5	4.436991145	-2.812579065
28	ROF	6	1.400045412	-2.486489993
28	ROF	7	6.667683026	-6.74773752
28	ROF	8	9.0342859	-14.51899186
28	ROF	9	9.055045574	-3.534529177
28	ROF	10	0.49978916	-11.58457945
28	TVUF	1	32.32125596	7.949041487
28	TVUF	2	28.78465082	15.3928444
28	TVUF	3	17.64306335	13.60037627
28	TVUF	4	12.52158682	11.94910636
28	TVUF	5	2.510363619	14.26063122
28	TVUF	6	27.65941159	28.25064063
28	TVUF	7	38.39605566	24.27743359
28	TVUF	8	45.41172273	18.69227027
28	TVUF	9	6.574069869	4.469201077
28	TVUF	10	-0.612021149	4.628791073
28	TVUH	1	22.82792176	10.5385838
28	TVUH	2	21.85435791	15.1516105
28	TVUH	3	5.577605501	17.21499238
28	TVUH	4	4.790554348	23.76655097
28	TVUH	5	9.160141425	25.07431315
28	TVUH	6	21.03986506	22.93308249
28	TVUH	7	23.17648967	27.72457751
28	TVUH	8	30.7285997	24.73479516
28	TVUH	9	37.90171592	17.70991599
28	TVUH	10	35.84443219	3.149664277
29	ROF	1	NA	NA
29	ROF	2	NA	NA
29	ROF	3	NA	NA
29	ROF	4	NA	NA
29	ROF	5	NA	NA
29	ROF	6	NA	NA
29	ROF	7	NA	NA
29	ROF	8	NA	NA
29	ROF	9	NA	NA
29	ROF	10	NA	NA
29	TVUF	1	41.29904108	31.1903683
29	TVUF	2	19.0577239	24.59767914
29	TVUF	3	4.466453871	24.93631158
29	TVUF	4	3.451506586	17.12961798
29	TVUF	5	27.47389504	14.39659942
29	TVUF	6	37.00034476	12.37918907
29	TVUF	7	39.50232372	12.29475362
29	TVUF	8	35.6689427	4.741232753
29	TVUF	9	-0.417857473	4.444706697
29	TVUF	10	5.146064188	7.05071582
29	TVUH	1	42.17718157	24.83415182
29	TVUH	2	18.82623897	21.14103636
29	TVUH	3	11.16407872	21.39320709
29	TVUH	4	0.64753138	14.54367118
29	TVUH	5	6.952578914	12.1949764
29	TVUH	6	27.67094077	17.1004263
29	TVUH	7	37.53067892	14.19604298
29	TVUH	8	39.16763991	-2.314292681
29	TVUH	9	8.718360367	7.966078862
29	TVUH	10	12.08482288	4.330344767
30	ROF	1	39.01782277	27.88176116
30	ROF	2	24.62977913	26.39731727
30	ROF	3	12.92794303	22.60311743
30	ROF	4	1.491564719	25.92299572
30	ROF	5	2.011881844	14.65813824
30	ROF	6	22.11977064	13.77842638
30	ROF	7	36.57339212	17.37589269
30	ROF	8	38.07654888	8.158479786
30	ROF	9	24.11542363	5.12699497
30	ROF	10	15.58119605	4.307271937
30	TVUF	1	36.12494566	28.07774949
30	TVUF	2	6.076052081	26.36974477
30	TVUF	3	5.518309218	23.54989753
30	TVUF	4	2.206296963	21.98310874
30	TVUF	5	10.9738558	13.57871204
30	TVUF	6	32.9732348	18.34279327
30	TVUF	7	40.89970813	7.610010557
30	TVUF	8	39.50021735	2.743463951
30	TVUF	9	33.29019437	3.555734956
30	TVUF	10	16.63408475	6.566354096
30	TVUF	11	8.950050715	4.201825747
30	TVUH	1	23.85377466	26.39321865
30	TVUH	2	14.12142665	25.07420977
30	TVUH	3	14.47713677	23.80848289
30	TVUH	4	27.47695046	15.63770726
30	TVUH	5	28.11434722	14.58473576
30	TVUH	6	30.65052061	16.07700428
30	TVUH	7	40.26645139	6.902440539
30	TVUH	8	22.34614668	7.512016394
30	TVUH	9	19.59883252	5.807365087
30	TVUH	10	6.978741021	2.501273055
31	ROF	1	31.6453578	36.1227156
31	ROF	2	29.01832416	30.80234862
31	ROF	3	11.30529664	36.6493211
31	ROF	4	21.06255657	4.489247706
31	ROF	5	9.351535168	4.775559633
31	ROF	6	1.64951682	22.03354128
31	ROF	7	20.15520489	15.77922936
31	ROF	8	30.43258716	25.52594495
31	ROF	9	27.85252599	15.49255046
31	ROF	10	40.41110703	5.821798165
31	TVUF	1	39.03911927	5.356477064
31	TVUF	2	35.20176147	4.975119266
31	TVUF	3	19.42390214	5.623926606
31	TVUF	4	35.29619572	16.65622018
31	TVUF	5	41.34028135	14.31097248
31	TVUF	6	-5.893284404	20.16007339
31	TVUF	7	-5.825957187	10.90473394
31	TVUF	8	-4.092379205	24.55831193
31	TVUF	9	37.45771254	25.02840367
31	TVUF	10	38.38688685	27.51757798
31	TVUH	1	31.07405505	7.007412844
