Parcela	Nom_definitiu	forager	Plant	Frequencia
35	Clytra_quadripunctata	lineal	HOE	1
30	Coleòpter_vermell_gruixut	lineal	CSA	1
37	Coleoptera_3	lineal	EFL	1
20	Cryptocephalus_ramburi	lineal	AMO	1
5	Danacea_longiceps	lineal	ROF	1
37	Dasytes_nigroaeneus	lineal	CAL	4
33	Dasytes_nigroaeneus	lineal	CSA	1
14	Dasytes_nigroaeneus	lineal	EFL	1
29	Dasytes_nigroaeneus	lineal	EFL	1
17	Dasytes_nigroaeneus	lineal	HOE	1
7	Dasytes_nigroaeneus	lineal	ROF	1
30	Dasytes_nigroaeneus	lineal	ROF	1
31	Dasytes_nigroaeneus	lineal	ROF	4
38	Dasytes_nigroaeneus	lineal	ROF	1
28	Dasytes_nigroaeneus	lineal	TVU	1
17	Escarabat_2	lineal	EFL	1
22	Escarabat_petit_1	lineal	FLA	1
21	Escarabat_rodonet_com_una_marieta_però_blau	lineal	HOE	1
5	Lobonyx_aeneus	lineal	CSA	1
9	Lobonyx_aeneus	lineal	CSA	2
15	Lobonyx_aeneus	lineal	CSA	9
32	Lobonyx_aeneus	lineal	CSA	1
33	Lobonyx_aeneus	lineal	CSA	2
38	Lobonyx_aeneus	lineal	CSA	1
5	Lobonyx_aeneus	lineal	ROF	2
9	Lobonyx_aeneus	lineal	ROF	2
15	Lobonyx_aeneus	lineal	ROF	12
20	Lobonyx_aeneus	lineal	ROF	4
21	Lobonyx_aeneus	lineal	ROF	8
30	Lobonyx_aeneus	lineal	ROF	1
34	Lobonyx_aeneus	lineal	TVU	1
9	Lobonyx_aeneus	lineal	TVU	1
14	Malthinus	lineal	EFL	2
17	Malthinus	lineal	EFL	2
7	Malthinus	lineal	ROF	2
17	Malthinus	lineal	ROF	1
9	Meligethes_2	lineal	ROF	1
35	Meligethes_aeneus	lineal	EFL	1
28	Meligethes_aeneus	lineal	TVU	1
35	Meligethes_aeneus	lineal	TVU	2
40	Meligethes_aeneus	lineal	TVU	2
20	Microhoria_plumbea	lineal	HOE	1
21	Microhoria_plumbea	lineal	HOE	1
15	Mordellistena_1	lineal	BLA	1
33	Mordellistena_1	lineal	CSA	2
19	Mordellistena_1	lineal	EFL	1
21	Oedemera_flavipes	lineal	BLA	2
21	Oedemera_flavipes	lineal	POT	1
9	Oedemera_flavipes	lineal	RGR	1
21	Oedemera_flavipes	lineal	ROF	1
15	Oedemera_flavipes	lineal	TVU	1
20	Oxythyrea_funesta	lineal	AMO	2
1	Oxythyrea_funesta	lineal	CAL	2
37	Oxythyrea_funesta	lineal	CAL	1
6	Oxythyrea_funesta	lineal	CSA	1
9	Oxythyrea_funesta	lineal	CSA	1
32	Oxythyrea_funesta	lineal	CSA	1
37	Oxythyrea_funesta	lineal	CSA	1
39	Oxythyrea_funesta	lineal	CSA	3
7	Oxythyrea_funesta	lineal	CSP	1
15	Oxythyrea_funesta	lineal	ECH	2
13	Oxythyrea_funesta	lineal	PRUNUS	1
9	Oxythyrea_funesta	lineal	RGR	2
2	Oxythyrea_funesta	lineal	ROF	1
3	Oxythyrea_funesta	lineal	ROF	1
5	Oxythyrea_funesta	lineal	ROF	1
8	Oxythyrea_funesta	lineal	ROF	3
11	Oxythyrea_funesta	lineal	ROF	1
14	Oxythyrea_funesta	lineal	ROF	1
15	Oxythyrea_funesta	lineal	ROF	2
16	Oxythyrea_funesta	lineal	ROF	1
20	Oxythyrea_funesta	lineal	ROF	1
22	Oxythyrea_funesta	lineal	ROF	2
23	Oxythyrea_funesta	lineal	ROF	2
25	Oxythyrea_funesta	lineal	ROF	1
30	Oxythyrea_funesta	lineal	ROF	1
31	Oxythyrea_funesta	lineal	ROF	4
34	Oxythyrea_funesta	lineal	ROF	1
36	Oxythyrea_funesta	lineal	ROF	3
38	Oxythyrea_funesta	lineal	ROF	1
39	Oxythyrea_funesta	lineal	ROF	1
40	Oxythyrea_funesta	lineal	ROF	1
26	Oxythyrea_funesta	lineal	TVU	1
7	Smaragdina_diversipes	lineal	CSP	1
17	Smaragdina_diversipes	lineal	CSP	1
39	Tropinota_squalida	lineal	CSA	4
7	Tropinota_squalida	lineal	ROF	1
37	Tropinota_squalida	lineal	ROF	1
39	Tropinota_squalida	lineal	ROF	2
7	Tropinota_squalida	lineal	TVU	1
21	Bombylius_cruciatus	lineal	ROF	1
2	Bombylius_discolor	lineal	ROF	2
21	Bombylius_discolor	lineal	ROF	1
40	Bombylius_discolor	lineal	ROF	1
32	Bombylius_discolor	lineal	TVU	1
37	Bombylius_sp_1	lineal	ROF	1
38	Conophorus	lineal	TVU	1
19	Chamaesyrphus	lineal	EFL	1
21	Chamaesyrphus	lineal	FLA	1
8	Chamaesyrphus	lineal	HOE	2
21	Chamaesyrphus	lineal	HOE	2
34	Chamaesyrphus	lineal	HOE	1
