Parcela	Nom_definitiu	Codi_planta	Frequencia
16	Apis	ROF	19
16	Lasioglossum_interruptum	ROF	1
16	Oxythyrea_funesta	ROF	1
17	Adela_aldrovandella	ROF	2
17	Andrena_angustior_impressa	ROF	1
17	Apis	ROF	59
17	Bombus_pascuorum	ROF	1
17	Chamaesyrphus	ROF	1
17	Malthinus	ROF	1
18	Adela_aldrovandella	ROF	1
18	Andrena_angustior_impressa	ROF	2
18	Andrena_nigroaenea	ROF	1
18	Apis	ROF	58
18	Halictus_smaragdalus	ROF	1
18	Lasioglossum_transitorium_planulum	ROF	2
19	Apis	ROF	126
19	Chrysotoxum_cautum	ROF	1
19	Empididae_2	ROF	1
19	Lasioglossum_subhirtum	ROF	3
19	Lasioglossum_transitorium_planulum	ROF	1
19	Mosca_14	ROF	1
19	Mosca_9	ROF	2
19	Mosca_prima_1	ROF	1
19	Sarcophagidae_4	ROF	1
20	Adela_aldrovandella	ROF	3
20	Apis	ROF	133
20	Bombus_terrestris	ROF	1
20	Symphyta	ROF	1
20	Pompilidae	ROF	1
20	Clanoptilus_abdominalis	ROF	1
20	Ichneumonidae_6	ROF	1
20	Lasioglossum_transitorium_planulum	ROF	1
20	Lobonyx_aeneus	ROF	4
20	Microlepidoptera	ROF	1
20	Mosca_14	ROF	2
20	Mosca_15	ROF	4
20	Mosca_19	ROF	1
20	Mosca_9	ROF	1
20	Oxythyrea_funesta	ROF	1
20	Tachinidae_2	ROF	1
21	Adela_aldrovandella	ROF	2
21	Andrena_angustior_impressa	ROF	1
21	Apis	ROF	35
21	Bombylius_cruciatus	ROF	1
21	Bombylius_discolor	ROF	1
21	Dipter_molt_llarg,_mes_que_apis,_ales_fosques,_grisos	ROF	1
21	Lasioglossum_bimaculatum	ROF	1
21	Lasioglossum_transitorium_planulum	ROF	1
21	Lobonyx_aeneus	ROF	8
21	Oedemera_flavipes	ROF	1
21	Sarcophagidae_4	ROF	1
22	Apis	ROF	20
22	Empididae_2	ROF	2
22	Lasioglossum_bimaculatum	ROF	1
22	Oxythyrea_funesta	ROF	2
23	Adela_aldrovandella	ROF	1
23	Apis	ROF	93
23	Bombus_terrestris	ROF	1
23	Chrysotoxum_cautum	ROF	1
23	Oxythyrea_funesta	ROF	2
24	Adela_aldrovandella	ROF	6
24	Andrena_angustior_impressa	ROF	1
24	Andrena_nigroaenea	ROF	3
24	Apis	ROF	184
24	Calliphoridae_3	ROF	2
24	Lasioglossum_transitorium_planulum	ROF	3
24	Mecoptera	ROF	1
24	Mosca_15	ROF	1
24	Osmia_gallarum	ROF	1
24	Sarcophagidae_1	ROF	1
25	Anthophora_dispar	ROF	1
25	Apis	ROF	57
25	Bombus_terrestris	ROF	1
25	Callophrys_rubi	ROF	1
25	Oxythyrea_funesta	ROF	1
25	Pieris_rapae	ROF	1
26	Andrena_djelfensis	ROF	1
26	Apis	ROF	2
26	Bibio_sp	ROF	3
27	Apis	ROF	11
27	Bibio_sp	ROF	1
28	Apis	ROF	1
28	Mosca_petita_3	ROF	1
28	Lasioglossum_transitorium_planulum	ROF	1
30	Apis	ROF	70
30	Bibio_sp	ROF	1
30	Conòpid_llarg_vermell	ROF	1
30	Dasytes_nigroaeneus	ROF	1
30	Lasioglossum_griseolum	ROF	1
