Population	Module	Species	Display	Depth	Shape	Simmetry	UV	Blue	Yellow	Red	Pollen	Nectar	Fenología
GARRAF	A	Ranunculus_gramineus	6	0.0	D	A	3.089	4.624	44.051	48.236	3.209	0.000	3.5
GARRAF	A	Rosmarinus_officinalis	1693	5.5	T	Z	6.094	31.079	30.261	32.566	0.092	0.360	4
GARRAF	A	Scorpiurus_muricatus	3	5.4	P	Z	2.166	2.835	40.977	54.022	0.053	0.000	4.5
GARRAF	A	Sideritis_hirsuta	2387	6.9	T	Z	3.884	24.313	35.485	36.318	0.057	0.110	5
GARRAF	A	Thymus_vulgaris	6739	4.0	T	A	4.327	31.840	27.567	36.267	0.032	0.030	4
GARRAF	A	Vicia_cracca	57	7.9	T	Z	6.972	31.363	11.465	50.200	0.037	0.614	4.5
GARRAF	B	Biscutella_laevigata	16	0.0	D	A	2.018	15.052	40.913	42.018	0.117	0.000	4.5
GARRAF	B	Euphorbia_characias	228	0.0	D	Z	16.196	16.231	34.299	33.274	0.423	0.042	3.5
GARRAF	B	Euphorbia_flavicoma	430	0.0	D	A	9.309	7.042	43.567	40.082	0.319	0.182	4.5
GARRAF	B	Iris_lutescens	2	11.3	T	Z	15.202	29.738	16.474	38.585	9.000	0.600	3.5
GARRAF	B	Phlomis_lychnitis	39	11.2	T	Z	4.781	5.257	41.787	48.175	0.495	0.790	4.5
GARRAF	C	Aphyllanthes_monspeliensis	3	8.3	T	A	2.953	37.276	20.186	39.584	0.193	0.563	4
GARRAF	C	Centaurea_paniculata	567	13.4	NT	A	4.271	30.324	22.304	43.101	3.500	1.561	5
GARRAF	C	Cistus_albidus	58	0.0	D	A	3.647	29.406	10.852	56.095	6.581	0.180	4.5
GARRAF	C	Cistus_monspelliensis	89	0.0	D	A	1.669	28.213	34.803	35.316	1.332	0.088	5
GARRAF	C	Cistus_salvifolius	8	0.0	D	A	1.490	27.315	35.112	36.083	5.804	0.140	4.5
GARRAF	C	Convolvulus_althaeoides	11	7.1	T	A	6.610	30.531	27.255	35.603	0.065	0.200	5
GARRAF	C	Dorycnium_pentaphyllum	2607	4.1	T	Z	1.694	28.741	36.100	33.464	0.027	0.172	4.5
GARRAF	C	Galium_aparine	78	0.0	D	A	3.459	25.655	34.920	35.966	0.010	0.000	5.5
GARRAF	E	Centaurea_linifolia	32	14.6	NT	A	4.394	31.106	22.030	42.470	6.615	2.563	5
PAPIOL	A	Andryala_integrifolia	10	0	T	A	2.495	12.993	41.940	42.573	0.066	0.000	6
PAPIOL	A	Colutea_arborescens	476	13	P	Z	13.245	7.415	34.889	44.451	0.645	2.55	4
PAPIOL	A	Dorycnium_hirsutum	79	5.4	P	Z	2.566	27.978	35.229	34.227	0.329	1.04	5.5
PAPIOL	A	Dorycnium_pentaphyllum	238	4	P	Z	1.694	28.741	36.100	33.464	0.023	0.09	5
PAPIOL	A	Echium_vulgare	68	16.3	T	Z	24.670	27.140	10.008	38.181	0.049	1.9	6.5
PAPIOL	A	Globularia_alypum	74212	4	T	A	5.433	35.277	20.234	39.056	0.012	0.011	1.5
PAPIOL	A	Marrubium_vulgare	619	4.5	T	Z	3.289	24.815	35.325	36.571	0.050	0.009	5
PAPIOL	A	Rosmarinus_officinalis	2014	10	T	Z	4.223	30.951	29.648	35.179	0.152	0.596	1.5
PAPIOL	A	Salvia_verbenaca	6	7.6	T	Z	8.398	34.833	19.342	37.428	0.133	0.626	5
PAPIOL	A	Ulex_parviflorus	2979	6	P	Z	11.087	3.926	40.589	44.398	0.265	0.000	2.5
PAPIOL	C	Cistus_albidus	19	0.0	D	A	4.425	29.712	15.809	50.054	13.774	0.740	4.5
PAPIOL	C	Cistus_monspelliensis	262	0.0	D	A	2.336	27.833	34.407	35.423	1.674	0.042	5.5
PAPIOL	C	Cistus_salvifolius	29	0.0	D	A	2.370	27.012	34.585	36.034	6.243	0.172	4.5
PAPIOL	C	Fumana_ericoides	17	0.0	D	A	16.367	6.366	36.491	40.776	0.180	0.000	5.5
PAPIOL	C	Onopordon_vulgare	4	9.6	NT	A	3.882	28.151	12.919	55.048	3.702	3.197	5.5
PAPIOL	D	Erica_arborea	10852	3.0	T	A	7.613	29.638	31.528	31.221	0.076	0.004	3.5
PAPIOL	D	Thymelaea_tinctoria_h	2314	3.0	T	A	6.123	8.492	46.548	38.837	0.000	0.155	2.5
PAPIOL	E	Galactites_tomentosa	11	7.8	NT	A	3.307	30.934	20.536	45.224	0.974	1.631	5.5
PAPIOL	E	Staehelina_dubia	1254	14.0	NT	A	3.489	32.948	15.654	47.909	0.063	0.016	6.5
PAPIOL	F	Origanum_vulgare	545	5	T	Z	5.643	30.131	29.770	34.456	0.103	0.071	6.5
PAPIOL	F	Ruta_chalepensis	76	0	D	A	5.935	8.319	46.880	38.866	0.384	7.29	6
