Pollinator	Percentage	Group
Lepidopterans	7.4	G3
Lepidopterans	0.0	G3
Lepidopterans	0.8	G3
Lepidopterans	0.0	G3
Lepidopterans	3.1	G3
Lepidopterans	2.0	G3
Lepidopterans	1.0	G3
Lepidopterans	5.3	G3
Lepidopterans	0.0	G3
Lepidopterans	0.0	G3
Lepidopterans	1.2	G3
Lepidopterans	12.2	G3
Lepidopterans	0.0	G3
Lepidopterans	0.0	G3
Lepidopterans	10.1	G3
Lepidopterans	0.0	G3
Lepidopterans	0.0	G3
Lepidopterans	0.3	G3
Lepidopterans	1	G3
Lepidopterans	0.6	G3
Lepidopterans	0.0	G3
Lepidopterans	0.3	G3
Lepidopterans	0	G3
Lepidopterans	6.0	G3
Lepidopterans	41.5	G3
Lepidopterans	5.3	G3
Lepidopterans	0.0	G3
Lepidopterans	12.3	G3
Dipterans	37.0	G3
Dipterans	3.9	G3
Dipterans	1.7	G3
Dipterans	28.6	G3
Dipterans	0.0	G3
Dipterans	5.7	G3
Dipterans	3.1	G3
Dipterans	0.0	G3
Dipterans	1.5	G3
Dipterans	3.5	G3
Dipterans	17.3	G3
Dipterans	1.6	G3
Dipterans	4.8	G3
Dipterans	6.9	G3
Dipterans	0.0	G3
Dipterans	26.2	G3
Dipterans	1.0	G3
Dipterans	0.0	G3
Dipterans	0.0	G3
Dipterans	0.0	G3
Dipterans	2.0	G3
Dipterans	0.0	G3
Dipterans	11.5	G3
Dipterans	6.0	G3
Dipterans	4.0	G3
Dipterans	0.0	G3
Dipterans	0.4	G3
Dipterans	3.0	G3
Dipterans	0	G3
Dipterans	4.0	G3
Dipterans	2.8	G3
Dipterans	0.0	G3
Dipterans	20.8	G3
Dipterans	4.7	G3
Dipterans	28.3	G3
Dipterans	1.3	G3
Dipterans	2.9	G3
Dipterans	0.0	G3
Coleopterans	0.0	G3
Coleopterans	58.8	G3
Coleopterans	0.9	G3
Coleopterans	0.8	G3
Coleopterans	5.9	G3
Coleopterans	83.9	G3
Coleopterans	76.2	G3
Coleopterans	4.1	G3
Coleopterans	18.4	G3
Coleopterans	9.1	G3
Coleopterans	42.0	G3
Coleopterans	3.1	G3
Coleopterans	0.0	G3
Coleopterans	69.0	G3
Coleopterans	4.6	G3
Coleopterans	0.2	G3
Coleopterans	5.0	G3
Coleopterans	12.3	G3
Coleopterans	0.0	G3
Coleopterans	0.0	G3
Coleopterans	1.0	G3
Coleopterans	2.8	G3
Coleopterans	5.8	G3
Coleopterans	0.0	G3
Coleopterans	9.6	G3
Coleopterans	3.0	G3
Coleopterans	12.2	G3
Coleopterans	2.7	G3
Coleopterans	5	G3
Coleopterans	0.4	G3
Coleopterans	4.1	G3
Coleopterans	0.3	G3
Coleopterans	1.3	G3
Coleopterans	18.5	G3
Coleopterans	3.8	G3
Coleopterans	2.6	G3
Coleopterans	1.7	G3
Coleopterans	4.1	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	1.5	G3
Wasps	0.0	G3
Wasps	0.3	G3
Wasps	9.2	G3
Wasps	0.9	G3
Wasps	8.8	G3
Wasps	3.7	G3
Wasps	0.4	G3
Wasps	2.4	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	1.0	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	0.0	G3
Wasps	5.5	G3
Wasps	3.8	G3
Wasps	0.0	G3
Wasps	32.7	G3
Wasps	0.0	G3
Wasps	2.1	G3
Wasps	0.0	G3
Wasps	3	G3
Wasps	0.6	G3
Wasps	1.4	G3
Wasps	1.0	G3
Wasps	1.3	G3
Wasps	1.3	G3
Wasps	0.0	G3
Wasps	2.6	G3
Wasps	0.6	G3
Wasps	0.0	G3
Bees	63.0	G3
Bees	29.4	G3
Bees	95.9	G3
Bees	11.8	G3
Bees	77.9	G3
Bees	10.4	G3
Bees	11.7	G3
Bees	71.4	G3
Bees	61.7	G3
Bees	76.4	G3
Bees	29.6	G3
Bees	93.8	G3
Bees	92.1	G3
Bees	24.0	G3
Bees	60.0	G3
Bees	71.6	G3
Bees	15.8	G3
Bees	78.9	G3
Bees	100.0	G3
Bees	93.0	G3
Bees	95.5	G3
Bees	79.6	G3
Bees	78.8	G3
Bees	94.0	G3
Bees	43.6	G3
Bees	97.0	G3
Bees	12.2	G3
Bees	94.1	G3
Bees	45.0	G3
Bees	94.0	G3
Bees	87.9	G3
Bees	98.3	G3
Bees	74	G3
Bees	61.4	G3
Bees	26.4	G3
Bees	74.4	G3
Bees	82.6	G3
Bees	83.6	G3
Ants	0.0	G3
Ants	5.8	G3
Ants	1.3	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	7.0	G3
Ants	0.0	G3
Ants	11.3	G3
Ants	1.3	G3
Ants	0.0	G3
Ants	1.2	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	32.3	G3
Ants	0.0	G3
Ants	76.2	G3
Ants	3.5	G3
Ants	0.0	G3
Ants	7.0	G3
Ants	0.2	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	0.0	G3
Ants	73.1	G3
Ants	0.0	G3
Ants	46	G3
Ants	0.5	G3
Ants	3.9	G3
Ants	0.0	G3
Ants	2.6	G3
Ants	8.2	G3
Ants	0.0	G3
Ants	13.7	G3
Ants	12.2	G3
Ants	0.0	G3
Lepidopterans	4.0	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	1.2	G4
Lepidopterans	0.1	G4
Lepidopterans	3.5	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	0.7	G4
Lepidopterans	0.0	G4
Lepidopterans	1.5	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	0.5	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	3.0	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	5.3	G4
Lepidopterans	0.0	G4
Lepidopterans	0.0	G4
Lepidopterans	8.1	G4
Dipterans	4.0	G4
Dipterans	13.2	G4
Dipterans	0.9	G4
Dipterans	0.7	G4
Dipterans	0.3	G4
Dipterans	2.5	G4
Dipterans	16.7	G4
Dipterans	39.5	G4
Dipterans	7.3	G4
Dipterans	1.9	G4
Dipterans	11.0	G4
Dipterans	18.0	G4
Dipterans	67.0	G4
Dipterans	15.8	G4
Dipterans	0.0	G4
Dipterans	4.9	G4
Dipterans	22.3	G4
Dipterans	30.1	G4
Dipterans	8.8	G4
Dipterans	0.0	G4
Dipterans	4.0	G4
Dipterans	0.0	G4
Dipterans	1.9	G4
Dipterans	0.0	G4
Dipterans	14.3	G4
Coleopterans	0.0	G4
Coleopterans	0.9	G4
Coleopterans	3.5	G4
Coleopterans	16.7	G4
Coleopterans	75.4	G4
Coleopterans	68.1	G4
Coleopterans	50.4	G4
Coleopterans	7.0	G4
Coleopterans	83.9	G4
Coleopterans	53.7	G4
Coleopterans	40.4	G4
Coleopterans	32.8	G4
Coleopterans	1.0	G4
Coleopterans	66.8	G4
Coleopterans	0.0	G4
Coleopterans	2.5	G4
Coleopterans	7.4	G4
Coleopterans	49.6	G4
Coleopterans	22.5	G4
Coleopterans	78.9	G4
Coleopterans	58.0	G4
Coleopterans	13.2	G4
Coleopterans	10.4	G4
Coleopterans	28.0	G4
Coleopterans	45.2	G4
Wasps	4.0	G4
Wasps	0.0	G4
Wasps	0.0	G4
Wasps	3.3	G4
Wasps	0.6	G4
Wasps	7.0	G4
Wasps	0.0	G4
Wasps	1.2	G4
Wasps	3.2	G4
Wasps	0.5	G4
Wasps	8.6	G4
Wasps	0.0	G4
Wasps	0.0	G4
Wasps	3.1	G4
Wasps	0.0	G4
Wasps	1.2	G4
Wasps	0.1	G4
Wasps	2.3	G4
Wasps	0.0	G4
Wasps	3.3	G4
Wasps	6.0	G4
Wasps	17.1	G4
Wasps	11.3	G4
Wasps	9.6	G4
Wasps	1.4	G4
Bees	84.0	G4
Bees	85.8	G4
Bees	85.2	G4
Bees	77.9	G4
Bees	18.7	G4
Bees	18.7	G4
Bees	30.9	G4
Bees	37.2	G4
Bees	3.9	G4
Bees	3.2	G4
Bees	11.9	G4
Bees	46.7	G4
Bees	32.0	G4
Bees	8.2	G4
Bees	100.0	G4
Bees	91.4	G4
Bees	61.0	G4
Bees	7.5	G4
Bees	68.6	G4
Bees	17.8	G4
Bees	30.0	G4
Bees	53.9	G4
Bees	71.7	G4
Bees	60.8	G4
Bees	24.3	G4
Ants	4.0	G4
Ants	0.0	G4
Ants	10.4	G4
Ants	0.2	G4
Ants	4.9	G4
Ants	0.2	G4
Ants	2.0	G4
Ants	15.1	G4
Ants	1.0	G4
Ants	40.6	G4
Ants	26.6	G4
Ants	2.5	G4
Ants	0.0	G4
Ants	5.6	G4
Ants	0.0	G4
Ants	0.0	G4
Ants	9.2	G4
Ants	7.5	G4
Ants	0.0	G4
Ants	0.0	G4
Ants	2.0	G4
Ants	10.5	G4
Ants	4.7	G4
Ants	1.6	G4
Ants	6.7	G4
Lepidopterans	0.0	G5
Lepidopterans	1.0	G5
Lepidopterans	0.2	G5
Lepidopterans	0.9	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	28.7	G5
Lepidopterans	0.0	G5
Lepidopterans	13.5	G5
Lepidopterans	0.4	G5
Lepidopterans	0.8	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	1.4	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	2.2	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	1.9	G5
Lepidopterans	0.0	G5
Lepidopterans	0.0	G5
Lepidopterans	0.2	G5
Lepidopterans	0.7	G5
Lepidopterans	4.5	G5
Lepidopterans	0.0	G5
Dipterans	0.0	G5
Dipterans	5.2	G5
Dipterans	1.1	G5
Dipterans	29.2	G5
Dipterans	7.7	G5
Dipterans	13.3	G5
Dipterans	0.0	G5
Dipterans	1.2	G5
Dipterans	19.8	G5
Dipterans	40.5	G5
Dipterans	52	G5
Dipterans	33.3	G5
Dipterans	12.0	G5
Dipterans	37.0	G5
Dipterans	5.3	G5
Dipterans	6.3	G5
Dipterans	0.0	G5
Dipterans	24.0	G5
Dipterans	37.8	G5
Dipterans	15.8	G5
Dipterans	13.5	G5
Dipterans	15.7	G5
Dipterans	0.0	G5
Dipterans	0.8	G5
Dipterans	11.3	G5
Dipterans	6.0	G5
Dipterans	14.8	G5
Dipterans	5.7	G5
Dipterans	84.2	G5
Dipterans	10.2	G5
Dipterans	3.2	G5
Coleopterans	14.3	G5
Coleopterans	45.4	G5
Coleopterans	7.2	G5
Coleopterans	15.1	G5
Coleopterans	7.7	G5
Coleopterans	35.6	G5
Coleopterans	53.3	G5
Coleopterans	69.1	G5
Coleopterans	2.7	G5
Coleopterans	4.2	G5
Coleopterans	1.2	G5
Coleopterans	25.3	G5
Coleopterans	12.0	G5
Coleopterans	12.6	G5
Coleopterans	21.4	G5
Coleopterans	6.7	G5
Coleopterans	92.3	G5
Coleopterans	6.0	G5
Coleopterans	39.2	G5
Coleopterans	5.4	G5
Coleopterans	1.1	G5
Coleopterans	14.6	G5
Coleopterans	11.3	G5
Coleopterans	1.2	G5
Coleopterans	11.3	G5
Coleopterans	0.0	G5
Coleopterans	33.3	G5
Coleopterans	23.9	G5
Coleopterans	1.1	G5
Coleopterans	4.5	G5
Coleopterans	40.9	G5
Wasps	0.0	G5
Wasps	0.0	G5
Wasps	0.8	G5
Wasps	0.9	G5
Wasps	0.0	G5
Wasps	4.7	G5
Wasps	1.6	G5
Wasps	0.4	G5
Wasps	3.6	G5
Wasps	1.9	G5
Wasps	2.0	G5
Wasps	2.7	G5
Wasps	7.4	G5
Wasps	4.9	G5
Wasps	18.7	G5
Wasps	5.8	G5
Wasps	0.0	G5
Wasps	0.0	G5
Wasps	1.4	G5
Wasps	0.0	G5
Wasps	7.3	G5
Wasps	1.1	G5
Wasps	0.7	G5
Wasps	0.4	G5
Wasps	1.9	G5
Wasps	2.0	G5
Wasps	0.0	G5
Wasps	0.0	G5
Wasps	1.8	G5
Wasps	6.7	G5
Wasps	0.0	G5
Bees	85.7	G5
Bees	47.4	G5
Bees	11.2	G5
Bees	46.2	G5
Bees	50.7	G5
Bees	46.4	G5
Bees	14.8	G5
Bees	0.7	G5
Bees	59.5	G5
Bees	1.9	G5
Bees	2.3	G5
Bees	27.4	G5
Bees	2.8	G5
Bees	30.1	G5
Bees	10.2	G5
Bees	3.6	G5
Bees	7.7	G5
Bees	62.0	G5
Bees	20.3	G5
Bees	78.2	G5
Bees	23.0	G5
Bees	51.7	G5
Bees	78.9	G5
Bees	96.4	G5
Bees	67.9	G5
Bees	90.0	G5
Bees	38.9	G5
Bees	58.0	G5
Bees	8.6	G5
Bees	70.1	G5
Bees	48.6	G5
Ants	0.0	G5
Ants	1.0	G5
Ants	79.5	G5
Ants	7.5	G5
Ants	30.8	G5
Ants	0.0	G5
Ants	1.6	G5
Ants	28.6	G5
Ants	0.9	G5
Ants	51.0	G5
Ants	41.6	G5
Ants	11.3	G5
Ants	65.7	G5
Ants	15.4	G5
Ants	44.4	G5
Ants	77.6	G5
Ants	0.0	G5
Ants	2.0	G5
Ants	0.0	G5
Ants	0.6	G5
Ants	55.1	G5
Ants	14.6	G5
Ants	9.2	G5
Ants	1.2	G5
Ants	5.7	G5
Ants	2.0	G5
Ants	13.0	G5
Ants	12.1	G5
Ants	3.6	G5
Ants	4.0	G5
Ants	7.3	G5
