Pollinator	Percentage	Group
Lepidopterans	0.0	4.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.6	3.0
Lepidopterans	0.0	3.0
Lepidopterans	1.9	5.0
Lepidopterans	5.3	4.0
Lepidopterans	0.3	3.0
Lepidopterans	0	3.0
Lepidopterans	6.0	3.0
Lepidopterans	41.5	3.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	4.0
Lepidopterans	0.0	4.0
Lepidopterans	5.3	3.0
Lepidopterans	0.0	5.0
Lepidopterans	0.2	5.0
Lepidopterans	0.0	2.0
Lepidopterans	0.0	3.0
Lepidopterans	100	1
Lepidopterans	0.7	5.0
Lepidopterans	4.5	5.0
Lepidopterans	8.1	4.0
Lepidopterans	0.0	2.0
Lepidopterans	0.0	5.0
Lepidopterans	12.3	3.0
Dipterans	0.0	1.0
Dipterans	4.0	4.0
Dipterans	13.2	4.0
Dipterans	0.0	5.0
Dipterans	5.2	5.0
Dipterans	37.0	3.0
Dipterans	3.9	3.0
Dipterans	0.9	4.0
Dipterans	1.1	5.0
Dipterans	1.7	3.0
Dipterans	29.2	5.0
Dipterans	7.7	5.0
Dipterans	27.4	2.0
Dipterans	0.0	1.0
Dipterans	5.2	1.0
Dipterans	0.9	1.0
Dipterans	28.6	3.0
Dipterans	0.7	4.0
Dipterans	0.3	4.0
Dipterans	2.5	4.0
Dipterans	16.7	4.0
Dipterans	39.5	4.0
Dipterans	7.3	4.0
Dipterans	1.9	4.0
Dipterans	11.0	4.0
Dipterans	0.0	3.0
Dipterans	5.7	3.0
Dipterans	3.1	3.0
Dipterans	13.3	5.0
Dipterans	0.0	5.0
Dipterans	1.2	5.0
Dipterans	18.0	4.0
Dipterans	0.0	3.0
Dipterans	1.5	3.0
Dipterans	3.5	3.0
Dipterans	17.3	3.0
Dipterans	1.6	3.0
Dipterans	4.8	3.0
Dipterans	19.8	5.0
Dipterans	67.0	4.0
Dipterans	40.5	5.0
Dipterans	52	5.0
Dipterans	33.3	5.0
Dipterans	12.0	5.0
Dipterans	37.0	5.0
Dipterans	5.3	5.0
Dipterans	6.3	5.0
Dipterans	0.0	5.0
Dipterans	24.0	5.0
Dipterans	37.8	5.0
Dipterans	6.9	3.0
Dipterans	2.2	1.0
Dipterans	0.7	1.0
Dipterans	0.9	1.0
Dipterans	15.8	4.0
Dipterans	0.0	3.0
Dipterans	26.2	3.0
Dipterans	15.8	5.0
Dipterans	1.0	3.0
Dipterans	0.0	3.0
Dipterans	0.0	3.0
Dipterans	0.0	3.0
Dipterans	2.0	3.0
Dipterans	0.0	4.0
Dipterans	4.9	4.0
Dipterans	1.5	1.0
Dipterans	22.3	4.0
Dipterans	30.1	4.0
Dipterans	28.9	2.0
Dipterans	8.8	4.0
Dipterans	0.0	3.0
Dipterans	11.5	3.0
Dipterans	56.5	2.0
Dipterans	6.0	3.0
Dipterans	2.0	2.0
Dipterans	0.0	2.0
Dipterans	0.0	1.0
Dipterans	4.0	3.0
Dipterans	0.0	3.0
Dipterans	0.0	4.0
Dipterans	13.5	5.0
Dipterans	0.4	3.0
Dipterans	3.0	3.0
Dipterans	0	3.0
Dipterans	15.7	5.0
Dipterans	4.0	4.0
Dipterans	0.0	5.0
Dipterans	0.8	5.0
Dipterans	4.0	3.0
Dipterans	2.8	3.0
Dipterans	11.3	5.0
Dipterans	0.0	4.0
Dipterans	0.0	3.0
Dipterans	20.8	3.0
Dipterans	4.7	3.0
Dipterans	28.3	3.0
Dipterans	6.0	5.0
Dipterans	1.9	4.0
Dipterans	0.0	4.0
Dipterans	1.3	3.0
Dipterans	14.8	5.0
Dipterans	5.7	5.0
Dipterans	5.6	2.0
Dipterans	2.9	3.0
Dipterans	0	1
Dipterans	84.2	5.0
Dipterans	10.2	5.0
Dipterans	14.3	4.0
Dipterans	3.2	2.0
Dipterans	3.2	5.0
Dipterans	0.0	3.0
Coleopterans	20.0	1.0
Coleopterans	0.0	4.0
Coleopterans	0.9	4.0
Coleopterans	14.3	5.0
Coleopterans	45.4	5.0
Coleopterans	0.0	3.0
Coleopterans	58.8	3.0
Coleopterans	3.5	4.0
Coleopterans	7.2	5.0
Coleopterans	0.9	3.0
Coleopterans	15.1	5.0
Coleopterans	7.7	5.0
Coleopterans	12.9	2.0
Coleopterans	19.2	1.0
Coleopterans	8.9	1.0
Coleopterans	39.8	1.0
Coleopterans	0.8	3.0
Coleopterans	16.7	4.0
Coleopterans	75.4	4.0
Coleopterans	68.1	4.0
Coleopterans	50.4	4.0
Coleopterans	7.0	4.0
Coleopterans	83.9	4.0
Coleopterans	53.7	4.0
Coleopterans	40.4	4.0
Coleopterans	5.9	3.0
Coleopterans	83.9	3.0
Coleopterans	76.2	3.0
Coleopterans	35.6	5.0
Coleopterans	53.3	5.0
Coleopterans	69.1	5.0
Coleopterans	32.8	4.0
Coleopterans	4.1	3.0
Coleopterans	18.4	3.0
Coleopterans	9.1	3.0
Coleopterans	42.0	3.0
Coleopterans	3.1	3.0
Coleopterans	0.0	3.0
Coleopterans	2.7	5.0
Coleopterans	1.0	4.0
Coleopterans	4.2	5.0
Coleopterans	1.2	5.0
Coleopterans	25.3	5.0
Coleopterans	12.0	5.0
Coleopterans	12.6	5.0
Coleopterans	21.4	5.0
Coleopterans	6.7	5.0
Coleopterans	92.3	5.0
Coleopterans	6.0	5.0
Coleopterans	39.2	5.0
Coleopterans	69.0	3.0
Coleopterans	9.7	1.0
Coleopterans	25.5	1.0
Coleopterans	19.8	1.0
Coleopterans	66.8	4.0
Coleopterans	4.6	3.0
Coleopterans	0.2	3.0
Coleopterans	5.4	5.0
Coleopterans	5.0	3.0
Coleopterans	12.3	3.0
Coleopterans	0.0	3.0
Coleopterans	0.0	3.0
Coleopterans	1.0	3.0
Coleopterans	0.0	4.0
Coleopterans	2.5	4.0
Coleopterans	4.5	1.0
Coleopterans	7.4	4.0
Coleopterans	49.6	4.0
Coleopterans	17.5	2.0
Coleopterans	22.5	4.0
Coleopterans	2.8	3.0
Coleopterans	5.8	3.0
Coleopterans	4.8	2.0
Coleopterans	0.0	3.0
Coleopterans	3.5	2.0
Coleopterans	13.5	2.0
Coleopterans	65.6	1.0
Coleopterans	9.6	3.0
Coleopterans	3.0	3.0
Coleopterans	78.9	4.0
Coleopterans	1.1	5.0
Coleopterans	12.2	3.0
Coleopterans	2.7	3.0
Coleopterans	5	3.0
Coleopterans	14.6	5.0
Coleopterans	58.0	4.0
Coleopterans	11.3	5.0
Coleopterans	1.2	5.0
Coleopterans	0.4	3.0
Coleopterans	4.1	3.0
Coleopterans	11.3	5.0
Coleopterans	13.2	4.0
Coleopterans	0.3	3.0
Coleopterans	1.3	3.0
Coleopterans	18.5	3.0
Coleopterans	3.8	3.0
Coleopterans	0.0	5.0
Coleopterans	10.4	4.0
Coleopterans	28.0	4.0
Coleopterans	2.6	3.0
Coleopterans	33.3	5.0
Coleopterans	23.9	5.0
Coleopterans	75.9	2.0
Coleopterans	1.7	3.0
Coleopterans	0	1
Coleopterans	1.1	5.0
Coleopterans	4.5	5.0
Coleopterans	45.2	4.0
Coleopterans	0.0	2.0
Coleopterans	40.9	5.0
Coleopterans	4.1	3.0
Wasps	7.5	1.0
Wasps	4.0	4.0
Wasps	0.0	4.0
Wasps	0.0	5.0
Wasps	0.0	5.0
Wasps	0.0	3.0
Wasps	0.0	3.0
Wasps	0.0	4.0
Wasps	0.8	5.0
Wasps	0.0	3.0
Wasps	0.9	5.0
Wasps	0.0	5.0
Wasps	1.6	2.0
Wasps	0.0	1.0
Wasps	0.5	1.0
Wasps	0.5	1.0
Wasps	0.0	3.0
Wasps	3.3	4.0
Wasps	0.6	4.0
Wasps	7.0	4.0
Wasps	0.0	4.0
Wasps	1.2	4.0
Wasps	3.2	4.0
Wasps	0.5	4.0
Wasps	8.6	4.0
Wasps	1.5	3.0
Wasps	0.0	3.0
Wasps	0.3	3.0
Wasps	4.7	5.0
Wasps	1.6	5.0
Wasps	0.4	5.0
Wasps	0.0	4.0
Wasps	9.2	3.0
Wasps	0.9	3.0
Wasps	8.8	3.0
Wasps	3.7	3.0
Wasps	0.4	3.0
Wasps	2.4	3.0
Wasps	3.6	5.0
Wasps	0.0	4.0
Wasps	1.9	5.0
Wasps	2.0	5.0
Wasps	2.7	5.0
Wasps	7.4	5.0
Wasps	4.9	5.0
Wasps	18.7	5.0
Wasps	5.8	5.0
Wasps	0.0	5.0
Wasps	0.0	5.0
Wasps	1.4	5.0
Wasps	0.0	3.0
Wasps	2.1	1.0
Wasps	0.0	1.0
Wasps	5.7	1.0
Wasps	3.1	4.0
Wasps	0.0	3.0
Wasps	0.0	3.0
Wasps	0.0	5.0
Wasps	1.0	3.0
Wasps	0.0	3.0
Wasps	0.0	3.0
Wasps	0.0	3.0
Wasps	0.0	3.0
Wasps	0.0	4.0
Wasps	1.2	4.0
Wasps	0.0	1.0
Wasps	0.1	4.0
Wasps	2.3	4.0
Wasps	0.0	2.0
Wasps	0.0	4.0
Wasps	5.5	3.0
Wasps	3.8	3.0
Wasps	0.0	2.0
Wasps	0.0	3.0
Wasps	3.0	2.0
Wasps	11.5	2.0
Wasps	0.4	1.0
Wasps	32.7	3.0
Wasps	0.0	3.0
Wasps	3.3	4.0
Wasps	7.3	5.0
Wasps	2.1	3.0
Wasps	0.0	3.0
Wasps	3	3.0
Wasps	1.1	5.0
Wasps	6.0	4.0
Wasps	0.7	5.0
Wasps	0.4	5.0
Wasps	0.6	3.0
Wasps	1.4	3.0
Wasps	1.9	5.0
Wasps	17.1	4.0
Wasps	1.0	3.0
Wasps	1.3	3.0
Wasps	1.3	3.0
Wasps	0.0	3.0
Wasps	2.0	5.0
Wasps	11.3	4.0
Wasps	9.6	4.0
Wasps	2.6	3.0
Wasps	0.0	5.0
Wasps	0.0	5.0
Wasps	0.0	2.0
Wasps	0.6	3.0
Wasps	0	1
Wasps	1.8	5.0
Wasps	6.7	5.0
Wasps	1.4	4.0
Wasps	0.0	2.0
Wasps	0.0	5.0
Wasps	0.0	3.0
Bees	60.8	1.0
Bees	84.0	4.0
Bees	85.8	4.0
Bees	85.7	5.0
Bees	47.4	5.0
Bees	63.0	3.0
Bees	29.4	3.0
Bees	85.2	4.0
Bees	11.2	5.0
Bees	95.9	3.0
Bees	46.2	5.0
Bees	50.7	5.0
Bees	58.0	2.0
Bees	48.5	1.0
Bees	15.6	1.0
Bees	40.5	1.0
Bees	11.8	3.0
Bees	77.9	4.0
Bees	18.7	4.0
Bees	18.7	4.0
Bees	30.9	4.0
Bees	37.2	4.0
Bees	3.9	4.0
Bees	3.2	4.0
Bees	11.9	4.0
Bees	77.9	3.0
Bees	10.4	3.0
Bees	11.7	3.0
Bees	46.4	5.0
Bees	14.8	5.0
Bees	0.7	5.0
Bees	46.7	4.0
Bees	71.4	3.0
Bees	61.7	3.0
Bees	76.4	3.0
Bees	29.6	3.0
Bees	93.8	3.0
Bees	92.1	3.0
Bees	59.5	5.0
Bees	32.0	4.0
Bees	1.9	5.0
Bees	2.3	5.0
Bees	27.4	5.0
Bees	2.8	5.0
Bees	30.1	5.0
Bees	10.2	5.0
Bees	3.6	5.0
Bees	7.7	5.0
Bees	62.0	5.0
Bees	20.3	5.0
Bees	24.0	3.0
Bees	47.7	1.0
Bees	20.7	1.0
Bees	53.8	1.0
Bees	8.2	4.0
Bees	60.0	3.0
Bees	71.6	3.0
Bees	78.2	5.0
Bees	15.8	3.0
Bees	78.9	3.0
Bees	100.0	3.0
Bees	93.0	3.0
Bees	95.5	3.0
Bees	100.0	4.0
Bees	91.4	4.0
Bees	68.4	1.0
Bees	61.0	4.0
Bees	7.5	4.0
Bees	38.1	2.0
Bees	68.6	4.0
Bees	79.6	3.0
Bees	78.8	3.0
Bees	38.7	2.0
Bees	94.0	3.0
Bees	91.0	2.0
Bees	44.2	2.0
Bees	29.9	1.0
Bees	43.6	3.0
Bees	97.0	3.0
Bees	17.8	4.0
Bees	23.0	5.0
Bees	12.2	3.0
Bees	94.1	3.0
Bees	45.0	3.0
Bees	51.7	5.0
Bees	30.0	4.0
Bees	78.9	5.0
Bees	96.4	5.0
Bees	94.0	3.0
Bees	87.9	3.0
Bees	67.9	5.0
Bees	53.9	4.0
Bees	98.3	3.0
Bees	74	3.0
Bees	61.4	3.0
Bees	26.4	3.0
Bees	90.0	5.0
Bees	71.7	4.0
Bees	60.8	4.0
Bees	74.4	3.0
Bees	38.9	5.0
Bees	58.0	5.0
Bees	11.9	2.0
Bees	82.6	3.0
Bees	0.0	1
Bees	8.6	5.0
Bees	70.1	5.0
Bees	24.3	4.0
Bees	96.8	2.0
Bees	48.6	5.0
Bees	83.6	3.0
Ants	0.0	1.0
Ants	4.0	4.0
Ants	0.0	4.0
Ants	0.0	5.0
Ants	1.0	5.0
Ants	0.0	3.0
Ants	5.8	3.0
Ants	10.4	4.0
Ants	79.5	5.0
Ants	1.3	3.0
Ants	7.5	5.0
Ants	30.8	5.0
Ants	0.0	2.0
Ants	32.3	1.0
Ants	0.5	1.0
Ants	11.5	1.0
Ants	0.0	3.0
Ants	0.2	4.0
Ants	4.9	4.0
Ants	0.2	4.0
Ants	2.0	4.0
Ants	15.1	4.0
Ants	1.0	4.0
Ants	40.6	4.0
Ants	26.6	4.0
Ants	0.0	3.0
Ants	0.0	3.0
Ants	7.0	3.0
Ants	0.0	5.0
Ants	1.6	5.0
Ants	28.6	5.0
Ants	2.5	4.0
Ants	0.0	3.0
Ants	11.3	3.0
Ants	1.3	3.0
Ants	0.0	3.0
Ants	1.2	3.0
Ants	0.0	3.0
Ants	0.9	5.0
Ants	0.0	4.0
Ants	51.0	5.0
Ants	41.6	5.0
Ants	11.3	5.0
Ants	65.7	5.0
Ants	15.4	5.0
Ants	44.4	5.0
Ants	77.6	5.0
Ants	0.0	5.0
Ants	2.0	5.0
Ants	0.0	5.0
Ants	0.0	3.0
Ants	33.1	1.0
Ants	53.1	1.0
Ants	0.0	1.0
Ants	5.6	4.0
Ants	32.3	3.0
Ants	0.0	3.0
Ants	0.6	5.0
Ants	76.2	3.0
Ants	3.5	3.0
Ants	0.0	3.0
Ants	7.0	3.0
Ants	0.2	3.0
Ants	0.0	4.0
Ants	0.0	4.0
Ants	15.8	1.0
Ants	9.2	4.0
Ants	7.5	4.0
Ants	15.5	2.0
Ants	0.0	4.0
Ants	0.0	3.0
Ants	0.0	3.0
Ants	0.0	2.0
Ants	0.0	3.0
Ants	0.0	2.0
Ants	30.8	2.0
Ants	0.0	1.0
Ants	0.0	3.0
Ants	0.0	3.0
Ants	0.0	4.0
Ants	55.1	5.0
Ants	73.1	3.0
Ants	0.0	3.0
Ants	46	3.0
Ants	14.6	5.0
Ants	2.0	4.0
Ants	9.2	5.0
Ants	1.2	5.0
Ants	0.5	3.0
Ants	3.9	3.0
Ants	5.7	5.0
Ants	10.5	4.0
Ants	0.0	3.0
Ants	2.6	3.0
Ants	8.2	3.0
Ants	0.0	3.0
Ants	2.0	5.0
Ants	4.7	4.0
Ants	1.6	4.0
Ants	13.7	3.0
Ants	13.0	5.0
Ants	12.1	5.0
Ants	6.7	2.0
Ants	12.2	3.0
Ants	0	1
Ants	3.6	5.0
Ants	4.0	5.0
Ants	6.7	4.0
Ants	0.0	2.0
Ants	7.3	5.0
Ants	0.0	3.0
